county	date	positive
Navarro	20200309	0
Newton	20200309	0
Nolan	20200309	0
Nueces	20200309	0
Ochiltree	20200309	0
Oldham	20200309	0
Orange	20200309	0
Palo Pinto	20200309	0
Panola	20200309	0
Parker	20200309	0
Parmer	20200309	0
Pecos	20200309	0
Polk	20200309	0
Potter	20200309	0
Presidio	20200309	0
Rains	20200309	0
Randall	20200309	0
Reagan	20200309	0
Real	20200309	0
Red River	20200309	0
Reeves	20200309	0
Refugio	20200309	0
Roberts	20200309	0
Robertson	20200309	0
Rockwall	20200309	0
Runnels	20200309	0
Rusk	20200309	0
Sabine	20200309	0
San Augustine	20200309	0
San Jacinto	20200309	0
San Patricio	20200309	0
San Saba	20200309	0
Schleicher	20200309	0
Scurry	20200309	0
Shackelford	20200309	0
Shelby	20200309	0
Sherman	20200309	0
Smith	20200309	0
Somervell	20200309	0
Starr	20200309	0
Stephens	20200309	0
Sterling	20200309	0
Stonewall	20200309	0
Sutton	20200309	0
Swisher	20200309	0
Tarrant	20200309	0
Taylor	20200309	0
Terrell	20200309	0
Terry	20200309	0
Throckmorton	20200309	0
Titus	20200309	0
Tom Green	20200309	0
Travis	20200309	0
Trinity	20200309	0
Tyler	20200309	0
Upshur	20200309	0
Upton	20200309	0
Uvalde	20200309	0
Val Verde	20200309	0
Van Zandt	20200309	0
Victoria	20200309	0
Walker	20200309	0
Waller	20200309	0
Ward	20200309	0
Washington	20200309	0
Webb	20200309	0
Wharton	20200309	0
Wheeler	20200309	0
Wichita	20200309	0
Wilbarger	20200309	0
Willacy	20200309	0
Williamson	20200309	0
Wilson	20200309	0
Winkler	20200309	0
Wise	20200309	0
Wood	20200309	0
Yoakum	20200309	0
Young	20200309	0
Zapata	20200309	0
Zavala	20200309	0
Anderson	20200310	0
Andrews	20200310	0
Angelina	20200310	0
Aransas	20200310	0
Archer	20200310	0
Armstrong	20200310	0
Atascosa	20200310	0
Austin	20200310	0
Bailey	20200310	0
Bandera	20200310	0
Bastrop	20200310	0
Baylor	20200310	0
Bee	20200310	0
Bell	20200310	0
Bexar	20200310	0
Blanco	20200310	0
Borden	20200310	0
Bosque	20200310	0
Bowie	20200310	0
Brazoria	20200310	0
Brazos	20200310	0
Brewster	20200310	0
Briscoe	20200310	0
Brooks	20200310	0
Brown	20200310	0
Burleson	20200310	0
Burnet	20200310	0
Caldwell	20200310	0
Calhoun	20200310	0
Callahan	20200310	0
Cameron	20200310	0
Camp	20200310	0
Carson	20200310	0
Cass	20200310	0
Castro	20200310	0
Chambers	20200310	0
Cherokee	20200310	0
Childress	20200310	0
Clay	20200310	0
Cochran	20200310	0
Coke	20200310	0
Coleman	20200310	0
Collin	20200310	3
Collingsworth	20200310	0
Colorado	20200310	0
Comal	20200310	0
Comanche	20200310	0
Concho	20200310	0
Cooke	20200310	0
Coryell	20200310	0
Cottle	20200310	0
Crane	20200310	0
Crockett	20200310	0
Crosby	20200310	0
Culberson	20200310	0
Dallam	20200310	0
Dallas	20200310	0
Dawson	20200310	0
Deaf Smith	20200310	0
Delta	20200310	0
Denton	20200310	0
DeWitt	20200310	0
Dickens	20200310	0
Dimmit	20200310	0
Donley	20200310	0
Duval	20200310	0
Eastland	20200310	0
Ector	20200310	0
Edwards	20200310	0
Ellis	20200310	0
El Paso	20200310	0
Erath	20200310	0
Falls	20200310	0
Fannin	20200310	0
Fayette	20200310	0
Fisher	20200310	0
Floyd	20200310	0
Foard	20200310	0
Fort Bend	20200310	6
Franklin	20200310	0
Freestone	20200310	0
Frio	20200310	0
Gaines	20200310	0
Galveston	20200310	0
Garza	20200310	0
Gillespie	20200310	0
Glasscock	20200310	0
Goliad	20200310	0
Gonzales	20200310	0
Gray	20200310	0
Grayson	20200310	0
Gregg	20200310	1
Grimes	20200310	0
Guadalupe	20200310	0
Hale	20200310	0
Hall	20200310	0
Hamilton	20200310	0
Hansford	20200310	0
Hardeman	20200310	0
Hardin	20200310	0
Harris	20200310	5
Harrison	20200310	0
Hartley	20200310	0
Haskell	20200310	0
Hays	20200310	0
Hemphill	20200310	0
Henderson	20200310	0
Hidalgo	20200310	0
Hill	20200310	0
Hockley	20200310	0
Hood	20200310	0
Hopkins	20200310	0
Houston	20200310	0
Howard	20200310	0
Hudspeth	20200310	0
Hunt	20200310	0
Hutchinson	20200310	0
Irion	20200310	0
Jack	20200310	0
Jackson	20200310	0
Jasper	20200310	0
Jeff Davis	20200310	0
Jefferson	20200310	0
Jim Hogg	20200310	0
Jim Wells	20200310	0
Johnson	20200310	0
Jones	20200310	0
Karnes	20200310	0
Kaufman	20200310	0
Kendall	20200310	0
Kenedy	20200310	0
Kent	20200310	0
Kerr	20200310	0
Kimble	20200310	0
King	20200310	0
Kinney	20200310	0
Kleberg	20200310	0
Knox	20200310	0
Lamar	20200310	0
Lamb	20200310	0
Lampasas	20200310	0
La Salle	20200310	0
Lavaca	20200310	0
Lee	20200310	0
Leon	20200310	0
Liberty	20200310	0
Limestone	20200310	0
Lipscomb	20200310	0
Live Oak	20200310	0
Llano	20200310	0
Loving	20200310	0
Lubbock	20200310	0
Lynn	20200310	0
McCulloch	20200310	0
McLennan	20200310	0
McMullen	20200310	0
Madison	20200310	0
Marion	20200310	0
Martin	20200310	0
Mason	20200310	0
Matagorda	20200310	0
Maverick	20200310	0
Medina	20200310	0
Menard	20200310	0
Midland	20200310	0
Milam	20200310	0
Mills	20200310	0
Mitchell	20200310	0
Montague	20200310	0
Montgomery	20200310	0
Moore	20200310	0
Morris	20200310	0
Motley	20200310	0
Nacogdoches	20200310	0
Navarro	20200310	0
Newton	20200310	0
Nolan	20200310	0
Nueces	20200310	0
Ochiltree	20200310	0
Oldham	20200310	0
Orange	20200310	0
Palo Pinto	20200310	0
Panola	20200310	0
Parker	20200310	0
Parmer	20200310	0
Pecos	20200310	0
Polk	20200310	0
Potter	20200310	0
Presidio	20200310	0
Rains	20200310	0
Randall	20200310	0
Reagan	20200310	0
